serverVersion:118 connectionTime:b'20180319 19:22:15 HKT'
initilaizing run... please wait
setting nextValidOrderId:  1
Error. Id:  -1  Code:  2106  Msg:  HMDS data farm connection is OK:ilhmds
RealTimeBars.  1 : time  1521458530 , open:  2739.75 , high:  2739.75 , low:  2739.75 , close:  2739.75 , volume:  74 , wap:  2739.75 , count:  13
RealTimeBars.  1 : time  1521458535 , open:  2740.0 , high:  2740.0 , low:  2739.75 , close:  2740.0 , volume:  47 , wap:  2740.0 , count:  9
RealTimeBars.  1 : time  1521458540 , open:  2740.0 , high:  2740.0 , low:  2740.0 , close:  2740.0 , volume:  0 , wap:  2740.0 , count:  0
RealTimeBars.  1 : time  1521458545 , open:  2739.75 , high:  2739.75 , low:  2739.75 , close:  2739.75 , volume:  30 , wap:  2739.75 , count:  12
RealTimeBars.  1 : time  1521458550 , open:  2739.75 , high:  2739.75 , low:  2739.75 , close:  2739.75 , volume:  5 , wap:  2739.75 , count:  1
RealTimeBars.  1 : time  1521458555 , open:  2739.75 , high:  2739.75 , low:  2739.75 , close:  2739.75 , volume:  0 , wap:  2739.75 , count:  0
RealTimeBars.  1 : time  1521458560 , open:  2739.75 , high:  2739.75 , low:  2739.75 , close:  2739.75 , volume:  0 , wap:  2739.75 , count:  0
RealTimeBars.  1 : time  1521458565 , open:  2740.0 , high:  2740.0 , low:  2740.0 , close:  2740.0 , volume:  1 , wap:  2740.0 , count:  1
RealTimeBars.  1 : time  1521458570 , open:  2739.75 , high:  2740.0 , low:  2739.75 , close:  2739.75 , volume:  51 , wap:  2739.75 , count:  15
RealTimeBars.  1 : time  1521458575 , open:  2740.0 , high:  2740.0 , low:  2740.0 , close:  2740.0 , volume:  13 , wap:  2740.0 , count:  7
RealTimeBars.  1 : time  1521458580 , open:  2740.0 , high:  2740.0 , low:  2739.75 , close:  2739.75 , volume:  2 , wap:  2740.0 , count:  2
RealTimeBars.  1 : time  1521458585 , open:  2739.75 , high:  2739.75 , low:  2739.75 , close:  2739.75 , volume:  1 , wap:  2739.75 , count:  1
RealTimeBars.  1 : time  1521458590 , open:  2739.75 , high:  2739.75 , low:  2739.75 , close:  2739.75 , volume:  12 , wap:  2739.75 , count:  5
RealTimeBars.  1 : time  1521458595 , open:  2739.75 , high:  2739.75 , low:  2739.75 , close:  2739.75 , volume:  2 , wap:  2739.75 , count:  2
